Runtime of genetic using different mutations/crossovers

Mutation variations:
-- base crossover: OX

Time: 11.584. Genetic, random mutation, 10 cities, 1000 generations. 
Time: 11.584. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 1.265. Genetic, random mutation, 5 cities, 1000 generations. 
Time: 1.265. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 0.135. Genetic, random mutation, 5 cities, 100 generations. 
Time: 0.135. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.135. Genetic, random mutation, 5 cities, 100 generations. 
Time: 0.135. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.136. Genetic, random mutation, 5 cities, 100 generations. 
Time: 0.136. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.133. Genetic, random mutation, 5 cities, 100 generations. 
Time: 0.133. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.139. Genetic, random mutation, 5 cities, 100 generations. 
Time: 0.139. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 0.002. Genetic, random mutation, 5 cities, 1 generations. 
Time: 0.002. Genetic, OX crossover, 5 cities, 1 generations. 
Time: 1.262. Genetic, random mutation, 5 cities, 1000 generations. 
Time: 1.262. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 1.254. Genetic, random mutation, 5 cities, 1000 generations. 
Time: 1.254. Genetic, OX crossover, 5 cities, 1000 generations. 
Time: 0.014. Genetic, random mutation, 10 cities, 1 generations. 
Time: 0.014. Genetic, OX crossover, 10 cities, 1 generations. 
Time: 0.834. Genetic, random mutation, 10 cities, 100 generations. 
Time: 0.834. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 26.398. Genetic, random mutation, 15 cities, 1000 generations. 
Time: 26.398. Genetic, OX crossover, 15 cities, 1000 generations. 
Time: 62.422. Genetic, random mutation, 20 cities, 1000 generations. 
Time: 62.422. Genetic, OX crossover, 20 cities, 1000 generations. 
Time: 44.763. Genetic, random mutation, 20 cities, 1000 generations. 
Time: 44.763. Genetic, OX crossover, 20 cities, 1000 generations. 
Time: 0.126. Genetic, random mutation, 5 cities, 100 generations. 
Time: 0.126. Genetic, OX crossover, 5 cities, 100 generations. 
Time: 8.317. Genetic, random mutation, 10 cities, 1000 generations. 
Time: 8.317. Genetic, OX crossover, 10 cities, 1000 generations. 
Time: 0.832. Genetic, random mutation, 10 cities, 100 generations. 
Time: 0.832. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.843. Genetic, random mutation, 10 cities, 100 generations. 
Time: 0.843. Genetic, OX crossover, 10 cities, 100 generations. 
Time: 0.47. Genetic, random mutation, 9 cities, 100 generations. 
Time: 0.47. Genetic, OX crossover, 9 cities, 100 generations. 
Time: 4.649. Genetic, random mutation, 9 cities, 1000 generations. 
Time: 4.649. Genetic, OX crossover, 9 cities, 1000 generations. 
Time: 8.117. Genetic, random mutation, 10 cities, 1000 generations. 
Time: 8.117. Genetic, OX crossover, 10 cities, 1000 generations. 
